iter	Passed	Remaining
538	262441	224463
539	262906	223957
540	263313	223403
541	263763	222885
542	264180	222339
543	264628	221820
544	265051	221281
545	265476	220744
546	265930	220231
547	266341	219683
548	266823	219193
549	267268	218674
550	267726	218165
551	268170	217645
552	268603	217117
553	269047	216597
554	269473	216064
555	269945	215568
556	270450	215097
557	270941	214616
558	271408	214116
559	271893	213630
560	272315	213095
561	272792	212603
562	273235	212084
563	273709	211590
564	274192	211103
565	274633	210584
566	275106	210090
567	275657	209655
568	276127	209158
569	276572	208642
570	277015	208125
571	277428	207586
572	277835	207043
573	278237	206496
574	278652	205960
575	279084	205437
576	279514	204912
577	279962	204401
578	280389	203875
579	280886	203400
580	281323	202882
581	281741	202350
582	282240	201876
583	282689	201367
584	283167	200879
585	283671	200409
586	284188	199948
587	284703	199486
588	285170	198989
589	285637	198493
590	286076	197978
591	286579	197507
592	287035	197003
593	287519	196520
594	288052	196069
595	288564	195604
596	289074	195137
597	289617	194692
598	290073	194189
599	290604	193736
600	291050	193226
601	291533	192741
602	292054	192281
603	292504	191774
604	292947	191263
605	293400	190759
606	293844	190248
607	294289	189739
608	294716	189218
609	295168	188714
610	295613	188205
611	296060	187698
612	296533	187207
613	297005	186716
614	298057	186588
615	299169	186495
616	300273	186393
617	301276	186225
618	302199	186006
619	303411	185961
620	304581	185887
621	305737	185802
622	306928	185733
623	308062	185627
624	309300	185580
625	310485	185497
626	311441	185275
627	311890	184750
628	312322	184215
629	312760	183684
630	313212	183162
631	313656	182635
632	314116	182117
633	314579	181602
634	315044	181088
635	315515	180578
636	316010	180081
637	316493	179577
638	316923	179044
639	317364	178517
640	317819	177998
641	318315	177502
642	318780	176990
643	319226	176466
644	319664	175939
645	320118	175420
646	320578	174905
647	321047	174396
648	321546	173902
649	322025	173398
650	322418	172848
651	322870	172329
652	323339	171820
653	323841	171329
654	324287	170807
655	324758	170300
656	325206	169780
657	325683	169276
658	326122	168752
659	326559	168227
660	326999	167704
661	327429	167177
662	327854	166647
663	328293	166124
664	328811	165642
665	329311	165150
666	329799	164652
667	330219	164120
668	330669	163604
669	331102	163080
670	331553	162564
671	332002	162049
672	332465	161539
673	332942	161037
674	333376	160514
675	333849	160010
676	334191	159444
677	334640	158929
678	335051	158396
679	335523	157893
680	335962	157374
681	336395	156853
682	336849	156341
683	337301	155829
684	337765	155322
685	338247	154824
686	338697	154311
687	339162	153806
688	339624	153299
689	340094	152796
690	340530	152277
691	341026	151786
692	341463	151268
693	341941	150769
694	342394	150259
695	342869	149759
696	343298	149238
697	343801	148750
698	344602	148391
699	345236	147958
700	345844	147514
701	346393	147044
702	346900	146556
703	347394	146063
704	347835	145548
705	348341	145060
706	348829	144564
707	349270	144049
708	349718	143537
709	350229	143051
710	350723	142558
711	351178	142049
712	351687	141562
713	352199	141077
714	352649	140566
